Achievements Name,実績日本語名,国家タグ,難易度,DLC,達成条件,日本語Wiki補足説明,英語Wiki補足説明,英語Wikiリンク

Friend in Need,まさかの時の友,,Very Easy,Base,陣営に参加する,, 新疆としてプレイし、ソビエト連邦を右クリックし、「派閥への参加を要請」をクリックし、ポップアップで「送信」をクリックする。それだけです。,

Time is on our side,時間は我々の味方,,Very Easy,Base,1947年12月31日までプレイする,ローリング・ストーンズの曲,どの国でもクリア可能ですが、例えば離席したい場合は史実モードでハイチとしてプレイしてください。,

Canada First,カナダ第一,CAN,Very Easy,Base,カナダで、枢軸国に参加する,元ネタはAmerica First。本実績実装より後の話ではあるがドナルド・トランプにより有名となった。,"史実モードでは、単に「ドイツ合衆国」へ向かう焦点経路を進むだけでよい。

注：陣営は枢軸国である必要はないが、ドイツが主導している必要がある。",

We'll Build it in a Day,我らは一日で成す,,Very Easy,Base,建造Vの研究を完了させる,ローマは一日にして成らず。,研究速度（特に産業研究速度）のボーナスを可能な限り積み重ね、産業分野を急いで進めましょう。最終的に建設レベル5に到達します。,

Transport Tycoon,トランスポートタイクーン,,Very Easy,Base,輸送船を1000にする,元ネタは経営シミュレーションゲーム『トランスポートタイクーン』,アメリカ合衆国またはイギリスとして、すべての海軍造船所を輸送船の生産に切り替え、いかなる戦争にも関与しないこと。,

Destroyer of Worlds,世界の破壊者,,Easy,Base,核を落とす,おのれディケイド・・・ではなくロバート・オッペンハイマーの「我は死神なり、世界の破壊者なり」より。さらに元はインドの聖典「バガヴァッド・ギーター」より,この達成は、汎用フォーカスツリーにおける標準的な核研究ボーナス以上の恩恵を受けられる国家として取り組むのが理想的である。核兵器へのボーナスに加え、核兵器開発の先行ボーナスを獲得できる点を考慮すれば、ドイツを選択するのが最適である。,

Wunderwaffen,ヴンダーヴァッフェン,,Easy,Base,すべての核・ジェット・ロケット技術を研究する,ドイツ語で奇跡(脅威)の兵器。エヴァQのAAAヴンダーでお馴染み。なおアイコンはハウニブーという架空兵器,ポーランドの「ポーランドは宇宙に行けるよ」実績の攻略法に従い、追加技術を研究するだけです。,

United Netherlands,低地地方統一,HOL,Very Easy,Base,オランダで、ベルギー、ルクセンブルクを獲得する（占領のみではダメ、講和会議で獲得のみ）,"ウイーン会議後からベルギー独立までの短期間に存在した実在の国が元ネタ。
DLC無しではバージョンアップにより取得は容易ではなくなった。正当化で国際緊張度25パーセントを超えてくると英仏が独立保障をかけて邪魔してくるので、簡単ではない。
MtG有りで有れば、民主主義独自陣営ルートでNF取得していくだけで簡単に取得出来るようになっている。",,https://hoi4.paradoxwikis.com/United_Netherlands_(achievement)

Vive la France,ヴィヴ・ラ・フランス,FRA,Very Easy,Base,フランスで、他国に占領されずに1948年1月1日を迎える,"そのままフランス語で『フランス万歳』
ファシ化し枢軸国入りすれば簡単に達成できる
コルシカも対象に含まれるので要注意",顧問または国家焦点を通じてファシズムに転向し、枢軸国に加盟せよ。いかなる戦争にも参加せず、1948年まで放置状態を維持せよ。,

Master of War,マスター・オブ・ウォー,,Very Easy,Base,陸・海・空軍ドクトリンツリーを全て研究する,元ネタはボブ・ディランの曲「Masters of War」,単にイギリスとしてプレイし、植民地政策再検討の分岐を進めれば、占領地を全て傀儡政権として解放できる。,

Mine is bigger than yours,僕の方が大きいよ,,Very Easy,Base,19カ国を超える陣営の盟主となる,,,

